id,nume,diacritice,judet,auto,zip,populatie,lat,lng
298,Campina,Câmpina,Prahova,PH,105600,32935,451.369.957,25.742.141
299,Comarnic,Comarnic,Prahova,PH,105700,3667,452.488.709,256.408.029
300,Ghiosesti,Ghioşeşti,Prahova,PH,105701,3119,452.438.113,256.201.723
301,Podu Lung,Podu Lung,Prahova,PH,105702,570,452.270.816,256.534.052
302,Poiana,Poiana,Prahova,PH,105703,3255,452.335.929,25.641.912
303,Posada,Posada,Prahova,PH,105704,1359,452.631.624,256.229.581
304,Mizil,Mizil,Prahova,PH,105800,13864,449.981.642,26.441.765
305,Fefelei,Fefelei,Prahova,PH,105801,448,450.144.592,264.390.666
306,Plopeni,Plopeni,Prahova,PH,105900,1590,450.650.725,259.822.141
307,Sinaia,Sinaia,Prahova,PH,106100,10410,453.310.429,255.623.504
308,Slanic,Slănic,Prahova,PH,106200,2918,452.275.045,259.365.314
309,Grosani,Groşani,Prahova,PH,106201,1914,452.507.311,259.492.162
310,Prajani,Prăjani,Prahova,PH,106202,1202,452.056.875,259.489.964
311,Urlati,Urlaţi,Prahova,PH,106300,6856,449.894.922,262.346.217
312,Arionestii Noi,Arioneştii Noi,Prahova,PH,106301,243,44.994.118,262.183.754
313,Arionestii Vechi,Arioneştii Vechi,Prahova,PH,106302,344,4.498.853,262.207.955
314,Cherba,Cherba,Prahova,PH,106303,157,449.972.704,262.903.789
315,Jercalai,Jercălăi,Prahova,PH,106304,220,450.168.722,262.184.922
316,Maruntis,Mărunţiş,Prahova,PH,106305,359,44.995.072,26.277.793
317,Orzoaia de Jos,Orzoaia de Jos,Prahova,PH,106306,212,450.055.607,262.276.661
318,Orzoaia de Sus,Orzoaia de Sus,Prahova,PH,106307,537,44.999.971,262.300.861
319,Schiau (Urlati),Schiau (Urlaţi),Prahova,PH,106308,34,449.784.918,262.336.856
320,Ulmi,Ulmi,Prahova,PH,106309,,450.891.906,260.829.313
321,Valea Bobului,Valea Bobului,Prahova,PH,106310,77,450.090.333,262.325.747
322,Valea Crangului,Valea Crângului,Prahova,PH,106311,292,449.962.126,262.630.537
